"player_name","position"
"Alfonzo McKinnie","PF"
"Bronson Koenig","PG"
"Kendrick Perkins","C"
"Landry Nnoko","C"
"Derek Willis","F"
"Trey McKinney-Jones","SG"
"Bryce Alford","SG"
"Rashawn Thomas","PF"
"Marcus Williams","PG"
"George de Paula","PG"
"Durand Scott","SG"
"Amida Brimah","C"
"Reggie Hearn","SG"
"Myke Henry","SF"
"Walt Lemon Jr.","PG"
"Brad Wanamaker","SG"
"Robert Williams","C"
"Mitchell Creek","SF"
"Rodions Kurucs","PF"
"Jordan McLaughlin","PG"
"Dzanan Musa","PF"
"Kevin Knox","PF"
"Mitchell Robinson","C"
"Shake Milton","SG"
"Norvel Pelle","C"
"Landry Shamet","SG"
"Zhaire Smith","SG"
"Jordan Loyd","PG"
"Rawle Alkins","SG"
"Wendell Carter Jr.","C"
"Chandler Hutchison","PF"
"Collin Sexton","SG"
"JaCorey Williams","F"
"Bruce Brown","SF"
"Keenan Evans","PG"
"Zach Lofton","G"
"Khyri Thomas","SG"
"Aaron Holiday","SG"
"Alize Johnson","PF"
"Jordan Barnett","F"
"Donte DiVincenzo","SF"
"Trevon Duval","PG"
"Brandon McCoy","C"
"Jaylen Morris","SG"
"Jaylen Adams","PG"
"Kevin Huerter","SG"
"Omari Spellman","C"
"Trae Young","PG"
"Miles Bridges","PF"
"Devonte' Graham","PG"
"Arnoldas Kulboka","SF"
"J.P. Macura","SG"
"Isaiah Wilkins","F"
"Marcus Lee","F"
"Yante Maten","PF"
"Malik Newman","SG"
"Mohamed Bamba","C"
"Melvin Frazier Jr.","SG"
"Justin Jackson","SF"
"Jarred Vanderbilt","SF"
"Troy Brown Jr.","SF"
"Tiwian Kendley","G"
"Issuf Sanon","SG"
"DeVaughn Akoon-Purcell","SG"
"Michael Porter Jr.","PF"
"Thomas Welsh","C"
"Keita Bates-Diop","PF"
"James Nunnally","SF"
"Josh Okogie","SF"
"Deonte Burton","SF"
"Tyler Davis","C"
"Hamidou Diallo","SF"
"Devon Hall","SG"
"Kevin Hervey","PF"
"Anfernee Simons","SG"
"Gary Trent Jr.","SG"
"Grayson Allen","SG"
"Isaac Haas","C"
"Jairus Lyles","G"
"Marcus Derrickson","SF"
"Jacob Evans","SF"
"Shai Gilgeous-Alexander","SG"
"Jerome Robinson","SG"
"Joel Berry II","PG"
"Isaac Bonga","SF"
"Jeffrey Carroll","G"
"Andre Ingram","SG"
"Sviatoslav Mykhailiuk","SF"
"Moritz Wagner","C"
"Johnathan Williams","PF"
"Deandre Ayton","C"
"Mikal Bridges","SF"
"George King","SF"
"De'Anthony Melton","SG"
"Elie Okobo","PG"
"Marvin Bagley III","C"
"Kostas Antetokounmpo","PF"
"Ryan Broekhoff","SF"
"Jalen Brunson","SG"
"Luka Doncic","SF"
"Scotty Hopson","SG"
"Daryl Macon","PG"
"Codi Miller-McIntyre","G"
"Ray Spalding","PF"
"Ding Yanyuhang","F"
"Vincent Edwards","SF"
"Rob Gray","G"
"Aaron Jackson","SF"
"MarShon Brooks","SG"
"Jevon Carter","SG"
"Markel Crawford","G"
"Tyler Harvey","G"
"Jaren Jackson Jr.","C"
"Doral Moore","C"
"Yuta Watanabe","SF"
"Trevon Bluiett","SG"
"Tony Carr","PG"
"Garlon Green","F"
"Darius Morris","PG"
"Chimezie Metu","C"
"Lonnie Walker IV","SF"
"Theo Pinson","SG"
"Allonzo Trier","SG"
"Jonah Bolden","C"
"Billy Preston","SF"
"Joe Chealey","PG"
"Duncan Robinson","SF"
"Jared Terrell","PG"
"Angel Delgado","C"
"Moritz Wagner","C"
"Wenyen Gabriel","PF"
"Gary Clark","C"
"Drew Eubanks","C"
"Haywood Highsmith","F"
"Brandon Sampson","SG"
"Deng Adel","SF"
"Stephan Hicks","G"
"Bonzie Colson","PF"
"Brandon Goodwin","PG"
"Donte Grantham","SF"
"Julian Washburn","SF"
"Kenrich Williams","PF"
"Carsen Edwards","PG"
"Tacko Fall","C"
"Javonte Green","SG"
"Romeo Langford","SG"
"Vincent Poirier","C"
"Max Strus","SG"
"Tremont Waters","PG"
"Grant Williams","PF"
"Nicolas Claxton","C"
"Jaylen Hands","PG"
"RJ Barrett","SF"
"Ignas Brazdeikis","SF"
"Isaiah Miles","F"
"Marial Shayok","SG"
"Matisse Thybulle","SF"
"Terence Davis","SG"
"Dewan Hernandez","C"
"Matt Thomas","SG"
"Daniel Gafford","C"
"Adam Mokoka","SG"
"Justin Simon","G"
"Coby White","SG"
"Marques Bolden","C"
"Darius Garland","PG"
"Kevin Porter Jr.","SF"
"Dean Wade","PF"
"Dylan Windler","SF"
"Jordan Bone","PG"
"Sekou Doumbouya","PF"
"Deividas Sirvydis","SG"
"Goga Bitadze","C"
"Brian Bowen II","SG"
"JaKeenan Gant","PF"
"Thanasis Antetokounmpo","PF"
"Cameron Reynolds","SG"
"Rayjon Tucker","F"
"Armoni Brooks","G"
"Charlie Brown Jr.","SG"
"Bruno Fernando","C"
"Isaac Humphries","PF"
"De'Andre Hunter","PF"
"Cam Reddish","SF"
"Robert Franks","PF"
"Ahmed Hill","G"
"Cody Martin","SG"
"Jalen McDaniels","PF"
"PJ Washington","C"
"Kyle Alexander","C"
"Tyler Herro","SG"
"Jeremiah Martin","SG"
"Kendrick Nunn","SG"
"KZ Okpala","PF"
"Chris Silva","C"
"DaQuan Jeffries","F"
"Vic Law","F"
"Chuma Okeke","C"
"Rui Hachimura","C"
"Jemerrio Jones","SG"
"Garrison Mathews","SF"
"Admiral Schofield","PF"
"Bol Bol","C"
"Vlatko Cancar","SF"
"Tyler Cook","PF"
"Jarrett Culver","SF"
"Jaylen Nowell","PG"
"Darius Bazley","PF"
"Luguentz Dort","SG"
"Jaylen Hoard","PF"
"Nassir Little","PF"
"Jarrell Brantley","PF"
"William Howard","SG"
"Stanton Kidd","PF"
"Juwan Morgan","F"
"Miye Oni","SG"
"Justin Wright-Foreman","SG"
"Eric Paschall","PF"
"Jordan Poole","SF"
"Alen Smailagic","C"
"Mfiondu Kabengele","C"
"Terance Mann","SF"
"Devontae Cacok","PF"
"Talen Horton-Tucker","SG"
"Zach Norvell Jr.","SG"
"Ty Jerome","SG"
"Cameron Johnson","PF"
"Jalen Lecque","SG"
"Cody Demps","F"
"Kyle Guy","PG"
"Justin James","SF"
"Vanja Marinkovic","SG"
"Eric Mika","C"
"Isaiah Pineiro","SF"
"Josh Reaves","SG"
"Isaiah Roby","PF"
"Chris Chiozza","PG"
"Michael Frazier","SG"
"Shamorie Ponds","PG"
"Brandon Clarke","C"
"John Konchar","SG"
"Matt Mooney","SG"
"Ja Morant","PG"
"Nickeil Alexander-Walker","SG"
"Kavell Bigby-Williams","C"
"Zylan Cheatham","PF"
"Jaxson Hayes","C"
"Nicolo Melli","C"
"Zion Williamson","C"
"Keldon Johnson","SF"
"Jeff Ledbetter","G"
"Luka Samanic","PF"
"Quinndary Weatherspoon","SG"
