"pick_rank","player_name","year"
"41","Tyshawn Taylor","2012"
"42","Doron Lamb","2012"
"43","Mike Scott","2012"
"44","Kim English","2012"
"45","Justin Hamilton","2012"
"46","Darius Miller","2012"
"47","Kevin Murphy","2012"
"48","Kostas Papanikolaou","2012"
"49","Kyle O'Quinn","2012"
"50","İzzet Türkyılmaz","2012"
"51","Kris Joseph","2012"
"52","Ognjen Kuzmić","2012"
"53","Furkan Aldemir","2012"
"54","Tornike Shengelia","2012"
"55","Darius Johnson-Odom","2012"
"56","Tomislav Zubčić","2012"
"57","İlkan Karaman","2012"
"58","Robbie Hummel","2012"
"59","Marcus Denmon","2012"
"60","Robert Sacre","2012"
"1","Anthony Bennett","2013"
"2","Victor Oladipo","2013"
"3","Otto Porter","2013"
"4","Cody Zeller","2013"
"5","Alex Len","2013"
"6","Nerlens Noel","2013"
"7","Ben McLemore","2013"
"8","Kentavious Caldwell-Pope","2013"
"9","Trey Burke","2013"
"10","CJ McCollum","2013"
